a,b,c
17641363424680760402,4492030506670290373,12292615563326593129
5004394015270382914,8416219058881538183,10861656402226439762
2723904916602784767,5091276901762778877,17685297488776838599
1013684403591839270,16103178629710593050,17557345612796805758
17537647069358604817,7771288392057988377,10387910325662788677
4254451358526905612,3805290053417713702,5498095204618461013
4183565312187601025,4943789318489143678,7229470436332109267
5152774834247618315,17864376828434783285,1358781455022294672
12872442399209715181,776544351173195208,8281407401924617260
10006355978143329558,5434753309738672862,4185489624422236034
